Year,Type,Method,Group,Count,ParNums,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
2016,avg,Quantile70_Group,High importance & High interaction,24,group 5 (par72),group 5 (par77),group 7 (par83),group 8 (par89),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par107),group 17 (par112),group 13 (par118),group 13 (par119),group 2 (par163),group 5 (par172),group 10 (par181),group 13 (par193),group 2 (par215),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 12 (par223),group 17 (par224),group 13 (par225),,,
2016,avg,Quantile70_Group,High importance & Low interaction,8,group 17 (par113),group 1 (par157),group 3 (par160),group 4 (par166),group 7 (par175),group 8 (par178),group 12 (par187),group 17 (par190),,,,,,,,,,,,,,,,,,,
2017,avg,Quantile70_Group,High importance & High interaction,25,group 5 (par72),group 5 (par74),group 5 (par77),group 7 (par83),group 8 (par89),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par102),group 12 (par106),group 12 (par107),group 17 (par112),group 13 (par118),group 13 (par119),group 5 (par172),group 10 (par181),group 12 (par187),group 13 (par193),group 2 (par215),group 5 (par218),group 8 (par220),group 10 (par221),group 17 (par224),group 13 (par225),,
2017,avg,Quantile70_Group,High importance & Low interaction,8,group 13 (par116),group 1 (par157),group 3 (par160),group 2 (par163),group 4 (par166),group 7 (par175),group 8 (par178),group 17 (par190),,,,,,,,,,,,,,,,,,,
2018,avg,Quantile70_Group,High importance & High interaction,26,group 5 (par72),group 5 (par77),group 7 (par83),group 8 (par89),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par102),group 12 (par106),group 12 (par107),group 17 (par112),group 13 (par114),group 13 (par118),group 13 (par119),group 5 (par172),group 8 (par178),group 10 (par181),group 12 (par187),group 13 (par193),group 2 (par215),group 5 (par218),group 8 (par220),group 10 (par221),group 17 (par224),group 13 (par225),
2018,avg,Quantile70_Group,High importance & Low interaction,7,group 1 (par157),group 3 (par160),group 2 (par163),group 4 (par166),group 7 (par175),group 17 (par190),group 7 (par219),,,,,,,,,,,,,,,,,,,,
2019,avg,Quantile70_Group,High importance & High interaction,27,group 5 (par72),group 5 (par74),group 5 (par77),group 7 (par83),group 8 (par86),group 8 (par89),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par102),group 12 (par106),group 12 (par107),group 17 (par110),group 13 (par114),group 13 (par116),group 13 (par118),group 13 (par119),group 5 (par172),group 8 (par178),group 10 (par181),group 12 (par187),group 13 (par193),group 2 (par215),group 5 (par218),group 8 (par220),group 10 (par221)
2019,avg,Quantile70_Group,High importance & Low interaction,6,group 17 (par113),group 2 (par163),group 7 (par175),group 10 (par182),group 17 (par190),group 7 (par219),,,,,,,,,,,,,,,,,,,,,
2020,avg,Quantile70_Group,High importance & High interaction,25,group 5 (par74),group 5 (par77),group 8 (par89),group 10 (par90),group 10 (par92),group 10 (par95),group 12 (par107),group 17 (par113),group 13 (par114),group 13 (par116),group 13 (par118),group 13 (par119),group 2 (par163),group 5 (par172),group 8 (par178),group 10 (par181),group 12 (par187),group 13 (par193),group 2 (par215),group 4 (par216),group 5 (par218),group 8 (par220),group 10 (par221),group 17 (par224),group 13 (par225),,
2020,avg,Quantile70_Group,High importance & Low interaction,7,group 7 (par83),group 8 (par86),group 1 (par157),group 3 (par160),group 4 (par166),group 10 (par182),group 17 (par190),,,,,,,,,,,,,,,,,,,,
2011,max,Quantile70_Group,High importance & High interaction,27,group 5 (par74),group 5 (par77),group 10 (par90),group 10 (par92),group 10 (par95),group 13 (par116),group 13 (par118),group 13 (par119),group 2 (par163),group 5 (par172),group 7 (par175),group 8 (par178),group 10 (par181),group 10 (par182),group 12 (par187),group 17 (par190),group 13 (par193),group 13 (par194),group 2 (par215),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225)
2011,max,Quantile70_Group,High importance & Low interaction,4,group 1 (par157),group 3 (par160),group 4 (par166),group 14 (par184),,,,,,,,,,,,,,,,,,,,,,,
2012,max,Quantile70_Group,High importance & High interaction,22,group 5 (par77),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 13 (par118),group 13 (par119),group 2 (par163),group 5 (par172),group 8 (par178),group 10 (par181),group 10 (par182),group 13 (par193),group 1 (par213),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),,,,,
2012,max,Quantile70_Group,High importance & Low interaction,7,group 5 (par74),group 1 (par157),group 12 (par187),group 17 (par190),group 3 (par214),group 2 (par215),group 4 (par216),,,,,,,,,,,,,,,,,,,,
2013,max,Quantile70_Group,High importance & High interaction,25,group 5 (par72),group 5 (par74),group 5 (par77),group 8 (par89),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par102),group 12 (par106),group 12 (par107),group 17 (par112),group 13 (par118),group 13 (par119),group 3 (par160),group 5 (par172),group 10 (par181),group 13 (par193),group 3 (par214),group 2 (par215),group 4 (par216),group 8 (par220),group 10 (par221),group 12 (par223),group 13 (par225),,
2013,max,Quantile70_Group,High importance & Low interaction,5,group 13 (par116),group 2 (par163),group 8 (par178),group 12 (par187),group 7 (par219),,,,,,,,,,,,,,,,,,,,,,
2014,max,Quantile70_Group,High importance & High interaction,27,group 5 (par74),group 5 (par77),group 10 (par92),group 10 (par95),group 13 (par118),group 13 (par119),group 7 (par175),group 8 (par178),group 8 (par179),group 10 (par181),group 10 (par182),group 14 (par184),group 12 (par187),group 17 (par190),group 13 (par193),group 1 (par213),group 3 (par214),group 2 (par215),group 4 (par216),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225)
2014,max,Quantile70_Group,High importance & Low interaction,2,group 13 (par116),group 5 (par172),,,,,,,,,,,,,,,,,,,,,,,,,
2015,max,Quantile70_Group,High importance & High interaction,25,group 5 (par72),group 5 (par74),group 5 (par77),group 7 (par83),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par107),group 17 (par112),group 13 (par116),group 13 (par118),group 13 (par119),group 7 (par175),group 8 (par178),group 10 (par181),group 13 (par193),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),,
2015,max,Quantile70_Group,High importance & Low interaction,4,group 8 (par89),group 17 (par113),group 5 (par172),group 12 (par187),,,,,,,,,,,,,,,,,,,,,,,
2016,max,Quantile70_Group,High importance & High interaction,23,group 5 (par77),group 10 (par90),group 10 (par92),group 10 (par95),group 13 (par119),group 2 (par163),group 5 (par172),group 7 (par175),group 8 (par178),group 10 (par181),group 17 (par190),group 13 (par193),group 1 (par213),group 3 (par214),group 2 (par215),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),,,,
2016,max,Quantile70_Group,High importance & Low interaction,5,group 1 (par157),group 3 (par160),group 4 (par166),group 12 (par187),group 4 (par216),,,,,,,,,,,,,,,,,,,,,,
2017,max,Quantile70_Group,High importance & High interaction,23,group 5 (par72),group 5 (par77),group 10 (par90),group 10 (par92),group 10 (par94),group 10 (par95),group 17 (par112),group 13 (par118),group 13 (par119),group 10 (par181),group 12 (par187),group 13 (par193),group 1 (par213),group 3 (par214),group 2 (par215),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),,,,
2017,max,Quantile70_Group,High importance & Low interaction,6,group 8 (par89),group 12 (par107),group 13 (par116),group 5 (par172),group 8 (par178),group 4 (par216),,,,,,,,,,,,,,,,,,,,,
2018,max,Quantile70_Group,High importance & High interaction,24,group 5 (par72),group 5 (par77),group 10 (par92),group 10 (par94),group 10 (par95),group 12 (par102),group 12 (par106),group 17 (par112),group 13 (par118),group 13 (par119),group 8 (par178),group 10 (par181),group 10 (par182),group 12 (par187),group 13 (par193),group 2 (par215),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),,,
2018,max,Quantile70_Group,High importance & Low interaction,4,group 12 (par107),group 1 (par157),group 2 (par163),group 5 (par172),,,,,,,,,,,,,,,,,,,,,,,
2019,max,Quantile70_Group,High importance & High interaction,26,group 5 (par72),group 5 (par77),group 10 (par90),group 10 (par92),group 10 (par95),group 13 (par114),group 13 (par118),group 13 (par119),group 2 (par163),group 8 (par178),group 10 (par181),group 10 (par182),group 12 (par187),group 17 (par190),group 13 (par193),group 13 (par194),group 2 (par215),group 4 (par216),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),
2019,max,Quantile70_Group,High importance & Low interaction,5,group 12 (par107),group 13 (par116),group 1 (par157),group 3 (par160),group 5 (par172),,,,,,,,,,,,,,,,,,,,,,
2020,max,Quantile70_Group,High importance & High interaction,25,group 5 (par74),group 5 (par77),group 10 (par90),group 10 (par95),group 13 (par119),group 2 (par163),group 5 (par172),group 7 (par175),group 8 (par178),group 10 (par181),group 10 (par182),group 12 (par187),group 17 (par190),group 17 (par191),group 13 (par193),group 13 (par194),group 2 (par215),group 5 (par218),group 7 (par219),group 8 (par220),group 10 (par221),group 14 (par222),group 12 (par223),group 17 (par224),group 13 (par225),,
